id,dexNum,methodCount,classification,unknownScopeMethodCount
"farfetchd-galar","83","0","classified_fixed","0"
"doduo","84","0","classified_fixed","0"
"doduo-f","84","0","classified_fixed","0"
"dodrio","85","0","classified_fixed","0"
"dodrio-f","85","0","classified_fixed","0"
"seel","86","0","single_record","0"
"dewgong","87","0","single_record","0"
"grimer","88","0","classified_fixed","0"
"grimer-alola","88","0","classified_fixed","0"
"muk","89","0","classified_fixed","0"
"muk-alola","89","0","classified_fixed","0"
"shellder","90","0","single_record","0"
"cloyster","91","0","single_record","0"
"gastly","92","0","single_record","0"
"haunter","93","0","single_record","0"
"gengar","94","5","modeled","0"
"gengar-gmax","94","1","modeled","0"
"gengar-mega","94","3","modeled","0"
"onix","95","0","single_record","0"
"drowzee","96","0","single_record","0"
"hypno","97","0","classified_fixed","0"
"hypno-f","97","0","classified_fixed","0"
"krabby","98","0","single_record","0"
"kingler","99","2","modeled","0"
"kingler-gmax","99","1","modeled","0"
"voltorb","100","0","classified_fixed","0"
"voltorb-hisui","100","0","classified_fixed","0"
"electrode","101","0","classified_fixed","0"
"electrode-hisui","101","0","classified_fixed","0"
"exeggcute","102","0","single_record","0"
"exeggutor","103","0","classified_fixed","0"
"exeggutor-alola","103","0","classified_fixed","0"
"cubone","104","0","single_record","0"
"marowak","105","0","classified_fixed","0"
"marowak-alola","105","0","classified_fixed","0"
"hitmonlee","106","0","single_record","0"
"hitmonchan","107","0","single_record","0"
"lickitung","108","0","single_record","0"
"koffing","109","0","single_record","0"
"weezing","110","0","classified_fixed","0"
"weezing-galar","110","0","classified_fixed","0"
"rhyhorn","111","0","classified_fixed","0"
"rhyhorn-f","111","0","classified_fixed","0"
"rhydon","112","0","classified_fixed","0"
"rhydon-f","112","0","classified_fixed","0"
"chansey","113","0","single_record","0"
"tangela","114","0","single_record","0"
"kangaskhan","115","3","modeled","0"
"kangaskhan-mega","115","3","modeled","0"
"horsea","116","0","single_record","0"
"seadra","117","0","single_record","0"
