id,dexNum,methodCount,classification,unknownScopeMethodCount
"froslass-mega","478","1","modeled","0"
"rotom","479","13","modeled","0"
"rotom-fan","479","10","modeled","0"
"rotom-frost","479","10","modeled","0"
"rotom-heat","479","10","modeled","0"
"rotom-mow","479","10","modeled","0"
"rotom-wash","479","10","modeled","0"
"uxie","480","0","single_record","0"
"mesprit","481","0","single_record","0"
"azelf","482","0","single_record","0"
"dialga","483","3","modeled","0"
"dialga-origin","483","2","modeled","0"
"palkia","484","3","modeled","0"
"palkia-origin","484","2","modeled","0"
"heatran","485","1","modeled","0"
"heatran-mega","485","1","modeled","0"
"regigigas","486","0","single_record","0"
"giratina","487","5","modeled","0"
"giratina-origin","487","4","modeled","0"
"cresselia","488","0","single_record","0"
"phione","489","0","single_record","0"
"manaphy","490","0","single_record","0"
"darkrai","491","1","modeled","0"
"darkrai-mega","491","1","modeled","0"
"shaymin","492","11","modeled","0"
"shaymin-sky","492","2","modeled","0"
"arceus","493","7","modeled","0"
"arceus-bug","493","5","modeled","0"
"arceus-dark","493","5","modeled","0"
"arceus-dragon","493","5","modeled","0"
"arceus-electric","493","5","modeled","0"
"arceus-fairy","493","4","modeled","0"
"arceus-fighting","493","5","modeled","0"
"arceus-fire","493","5","modeled","0"
"arceus-flying","493","5","modeled","0"
"arceus-ghost","493","5","modeled","0"
"arceus-grass","493","5","modeled","0"
"arceus-ground","493","5","modeled","0"
"arceus-ice","493","5","modeled","0"
"arceus-legendary","493","2","modeled","0"
"arceus-poison","493","5","modeled","0"
"arceus-psychic","493","5","modeled","0"
"arceus-rock","493","5","modeled","0"
"arceus-steel","493","5","modeled","0"
"arceus-water","493","5","modeled","0"
"victini","494","0","single_record","0"
"snivy","495","0","single_record","0"
"servine","496","0","single_record","0"
"serperior","497","0","single_record","0"
"tepig","498","0","single_record","0"
"pignite","499","0","single_record","0"
"emboar","500","1","modeled","0"
"emboar-mega","500","1","modeled","0"
"oshawott","501","0","single_record","0"
"dewott","502","0","single_record","0"
"samurott","503","0","classified_fixed","0"
"samurott-hisui","503","0","classified_fixed","0"
"patrat","504","0","single_record","0"
"watchog","505","0","single_record","0"
"lillipup","506","0","single_record","0"
"herdier","507","0","single_record","0"
"stoutland","508","0","single_record","0"
"purrloin","509","0","single_record","0"
"liepard","510","0","single_record","0"
"pansage","511","0","single_record","0"
"simisage","512","0","single_record","0"
"pansear","513","0","single_record","0"
"simisear","514","0","single_record","0"
"panpour","515","0","single_record","0"
"simipour","516","0","single_record","0"
"munna","517","0","single_record","0"
"musharna","518","0","single_record","0"
"pidove","519","0","single_record","0"
"tranquill","520","0","single_record","0"
"unfezant","521","0","classified_fixed","0"
"unfezant-f","521","0","classified_fixed","0"
"blitzle","522","0","single_record","0"
"zebstrika","523","0","single_record","0"
"roggenrola","524","0","single_record","0"
"boldore","525","0","single_record","0"
"gigalith","526","0","single_record","0"
"woobat","527","0","single_record","0"
"swoobat","528","0","single_record","0"
"drilbur","529","0","single_record","0"
"excadrill","530","1","modeled","0"
"excadrill-mega","530","1","modeled","0"
"audino","531","2","modeled","0"
"audino-mega","531","2","modeled","0"
"timburr","532","0","single_record","0"
"gurdurr","533","0","single_record","0"
"conkeldurr","534","0","single_record","0"
"tympole","535","0","single_record","0"
"palpitoad","536","0","single_record","0"
"seismitoad","537","0","single_record","0"
"throh","538","0","single_record","0"
"sawk","539","0","single_record","0"
"sewaddle","540","0","single_record","0"
"swadloon","541","0","single_record","0"
"leavanny","542","0","single_record","0"
"venipede","543","0","single_record","0"
"whirlipede","544","0","single_record","0"
"scolipede","545","1","modeled","0"
"scolipede-mega","545","1","modeled","0"
"cottonee","546","0","single_record","0"
"whimsicott","547","0","single_record","0"
"petilil","548","0","single_record","0"
"lilligant","549","0","classified_fixed","0"
"lilligant-hisui","549","0","classified_fixed","0"
"basculin","550","0","classified_fixed","0"
"basculin-blue-striped","550","0","classified_fixed","0"
"basculin-white-striped","550","0","classified_fixed","0"
"sandile","551","0","single_record","0"
"krokorok","552","0","single_record","0"
"krookodile","553","0","single_record","0"
"darumaka","554","0","classified_fixed","0"
"darumaka-galar","554","0","classified_fixed","0"
"darmanitan","555","3","modeled","2"
"darmanitan-galar","555","2","modeled","2"
"darmanitan-galar-zen","555","1","modeled","1"
"darmanitan-zen","555","1","modeled","1"
"maractus","556","0","single_record","0"
"dwebble","557","0","single_record","0"
"crustle","558","0","single_record","0"
"scraggy","559","0","single_record","0"
"scrafty","560","1","modeled","0"
"scrafty-mega","560","1","modeled","0"
"sigilyph","561","0","single_record","0"
"yamask","562","0","classified_fixed","0"
"yamask-galar","562","0","classified_fixed","0"
"cofagrigus","563","0","single_record","0"
"tirtouga","564","0","single_record","0"
"carracosta","565","0","single_record","0"
"archen","566","0","single_record","0"
"archeops","567","0","single_record","0"
"trubbish","568","0","single_record","0"
"garbodor","569","2","modeled","0"
"garbodor-gmax","569","1","modeled","0"
"zorua","570","0","classified_fixed","0"
"zorua-hisui","570","0","classified_fixed","0"
"zoroark","571","0","classified_fixed","0"
"zoroark-hisui","571","0","classified_fixed","0"
"minccino","572","0","single_record","0"
"cinccino","573","0","single_record","0"
"gothita","574","0","single_record","0"
"gothorita","575","0","single_record","0"
"gothitelle","576","0","single_record","0"
"solosis","577","0","single_record","0"
"duosion","578","0","single_record","0"
"reuniclus","579","0","single_record","0"
"ducklett","580","0","single_record","0"
"swanna","581","0","single_record","0"
"vanillite","582","0","single_record","0"
"vanillish","583","0","single_record","0"
"vanilluxe","584","0","single_record","0"
"deerling","585","4","modeled","0"
"deerling-autumn","585","4","modeled","0"
"deerling-summer","585","3","modeled","0"
"deerling-winter","585","4","modeled","0"
"sawsbuck","586","4","modeled","0"
"sawsbuck-autumn","586","4","modeled","0"
"sawsbuck-summer","586","3","modeled","0"
"sawsbuck-winter","586","4","modeled","0"
"emolga","587","0","single_record","0"
"karrablast","588","0","single_record","0"
"escavalier","589","0","single_record","0"
"foongus","590","0","single_record","0"
"amoonguss","591","0","single_record","0"
"frillish","592","0","classified_fixed","0"
"frillish-f","592","0","classified_fixed","0"
"jellicent","593","0","classified_fixed","0"
"jellicent-f","593","0","classified_fixed","0"
"alomomola","594","0","single_record","0"
"joltik","595","0","single_record","0"
"galvantula","596","0","single_record","0"
"ferroseed","597","0","single_record","0"
"ferrothorn","598","0","single_record","0"
"klink","599","0","single_record","0"
"klang","600","0","single_record","0"
"klinklang","601","0","single_record","0"
"tynamo","602","0","single_record","0"
"eelektrik","603","0","single_record","0"
"eelektross","604","1","modeled","0"
"eelektross-mega","604","1","modeled","0"
"elgyem","605","0","single_record","0"
"beheeyem","606","0","single_record","0"
"litwick","607","0","single_record","0"
"lampent","608","0","single_record","0"
"chandelure","609","1","modeled","0"
"chandelure-mega","609","1","modeled","0"
"axew","610","0","single_record","0"
"fraxure","611","0","single_record","0"
"haxorus","612","0","single_record","0"
"cubchoo","613","0","single_record","0"
"beartic","614","0","single_record","0"
"cryogonal","615","0","single_record","0"
"shelmet","616","0","single_record","0"
"accelgor","617","0","single_record","0"
"stunfisk","618","0","classified_fixed","0"
"stunfisk-galar","618","0","classified_fixed","0"
"mienfoo","619","0","single_record","0"
"mienshao","620","0","single_record","0"
"druddigon","621","0","single_record","0"
"golett","622","0","single_record","0"
"golurk","623","1","modeled","0"
"golurk-mega","623","1","modeled","0"
"pawniard","624","0","single_record","0"
"bisharp","625","0","single_record","0"
"bouffalant","626","0","single_record","0"
"rufflet","627","0","single_record","0"
"braviary","628","0","classified_fixed","0"
"braviary-hisui","628","0","classified_fixed","0"
"vullaby","629","0","single_record","0"
"mandibuzz","630","0","single_record","0"
"heatmor","631","0","single_record","0"
"durant","632","0","single_record","0"
"deino","633","0","single_record","0"
"zweilous","634","0","single_record","0"
"hydreigon","635","0","single_record","0"
"larvesta","636","0","single_record","0"
"volcarona","637","0","single_record","0"
"cobalion","638","0","single_record","0"
"terrakion","639","0","single_record","0"
"virizion","640","0","single_record","0"
"tornadus","641","1","modeled","0"
"tornadus-therian","641","1","modeled","0"
"thundurus","642","1","modeled","0"
"thundurus-therian","642","1","modeled","0"
"reshiram","643","0","single_record","0"
"zekrom","644","0","single_record","0"
"landorus","645","1","modeled","0"
"landorus-therian","645","1","modeled","0"
"kyurem","646","2","modeled","0"
"kyurem-black","646","1","modeled","0"
"kyurem-white","646","1","modeled","0"
"keldeo","647","1","modeled","0"
"keldeo-resolute","647","4","modeled","0"
"meloetta","648","2","modeled","2"
"meloetta-pirouette","648","1","modeled","1"
"genesect","649","1","modeled","0"
"genesect-burn","649","1","modeled","0"
"genesect-chill","649","1","modeled","0"
"genesect-douse","649","1","modeled","0"
"genesect-shock","649","1","modeled","0"
"chespin","650","0","single_record","0"
"quilladin","651","0","single_record","0"
"chesnaught","652","1","modeled","0"
"chesnaught-mega","652","1","modeled","0"
"fennekin","653","0","single_record","0"
"braixen","654","0","single_record","0"
"delphox","655","1","modeled","0"
"delphox-mega","655","1","modeled","0"
"froakie","656","0","single_record","0"
"frogadier","657","0","single_record","0"
"greninja","658","2","modeled","0"
"greninja-ash","658","1","modeled","0"
"greninja-mega","658","1","modeled","0"
"bunnelby","659","0","single_record","0"
"diggersby","660","0","single_record","0"
"fletchling","661","0","single_record","0"
"fletchinder","662","0","single_record","0"
"talonflame","663","0","single_record","0"
"scatterbug","664","0","single_record","0"
"spewpa","665","0","single_record","0"
"vivillon","666","0","classified_fixed","0"
"vivillon-archipelago","666","0","classified_fixed","0"
"vivillon-continental","666","0","classified_fixed","0"
"vivillon-elegant","666","0","classified_fixed","0"
"vivillon-fancy","666","0","classified_fixed","0"
"vivillon-garden","666","0","classified_fixed","0"
"vivillon-high-plains","666","0","classified_fixed","0"
"vivillon-jungle","666","0","classified_fixed","0"
"vivillon-marine","666","0","classified_fixed","0"
"vivillon-meadow","666","0","classified_fixed","0"
"vivillon-modern","666","0","classified_fixed","0"
"vivillon-monsoon","666","0","classified_fixed","0"
"vivillon-ocean","666","0","classified_fixed","0"
"vivillon-pokeball","666","0","classified_fixed","0"
"vivillon-polar","666","0","classified_fixed","0"
"vivillon-river","666","0","classified_fixed","0"
"vivillon-sandstorm","666","0","classified_fixed","0"
"vivillon-savanna","666","0","classified_fixed","0"
"vivillon-sun","666","0","classified_fixed","0"
"vivillon-tundra","666","0","classified_fixed","0"
"litleo","667","0","single_record","0"
"pyroar","668","1","modeled","0"
"pyroar-f","668","1","modeled","0"
"pyroar-mega","668","1","modeled","0"
"flabebe","669","0","classified_fixed","0"
"flabebe-blue","669","0","classified_fixed","0"
"flabebe-orange","669","0","classified_fixed","0"
"flabebe-white","669","0","classified_fixed","0"
"flabebe-yellow","669","0","classified_fixed","0"
"floette","670","0","classified_fixed","0"
"floette-blue","670","0","classified_fixed","0"
"floette-eternal","670","1","modeled","0"
"floette-eternal-mega","670","1","modeled","0"
"floette-orange","670","0","classified_fixed","0"
"floette-white","670","0","classified_fixed","0"
"floette-yellow","670","0","classified_fixed","0"
"florges","671","0","classified_fixed","0"
"florges-blue","671","0","classified_fixed","0"
"florges-orange","671","0","classified_fixed","0"
"florges-white","671","0","classified_fixed","0"
"florges-yellow","671","0","classified_fixed","0"
"skiddo","672","0","single_record","0"
"gogoat","673","0","single_record","0"
"pancham","674","0","single_record","0"
"pangoro","675","0","single_record","0"
"furfrou","676","11","modeled","0"
"furfrou-dandy","676","5","modeled","0"
"furfrou-debutante","676","5","modeled","0"
"furfrou-diamond","676","5","modeled","0"
"furfrou-heart","676","5","modeled","0"
"furfrou-kabuki","676","5","modeled","0"
"furfrou-la-reine","676","5","modeled","0"
"furfrou-matron","676","5","modeled","0"
"furfrou-pharaoh","676","5","modeled","0"
"furfrou-star","676","5","modeled","0"
"espurr","677","0","single_record","0"
"meowstic","678","1","modeled","0"
"meowstic-f","678","1","modeled","0"
"meowstic-mega","678","1","modeled","0"
"honedge","679","0","single_record","0"
"doublade","680","0","single_record","0"
"aegislash","681","3","modeled","2"
"aegislash-blade","681","2","modeled","1"
"spritzee","682","0","single_record","0"
"aromatisse","683","0","single_record","0"
"swirlix","684","0","single_record","0"
"slurpuff","685","0","single_record","0"
"inkay","686","0","single_record","0"
"malamar","687","1","modeled","0"
"malamar-mega","687","1","modeled","0"
"binacle","688","0","single_record","0"
"barbaracle","689","1","modeled","0"
"barbaracle-mega","689","1","modeled","0"
"skrelp","690","0","single_record","0"
"dragalge","691","1","modeled","0"
"dragalge-mega","691","1","modeled","0"
"clauncher","692","0","single_record","0"
"clawitzer","693","0","single_record","0"
"helioptile","694","0","single_record","0"
"heliolisk","695","0","single_record","0"
"tyrunt","696","0","single_record","0"
"tyrantrum","697","0","single_record","0"
"amaura","698","0","single_record","0"
"aurorus","699","0","single_record","0"
"sylveon","700","0","single_record","0"
"hawlucha","701","1","modeled","0"
"hawlucha-mega","701","1","modeled","0"
"dedenne","702","0","single_record","0"
"carbink","703","0","single_record","0"
"goomy","704","0","single_record","0"
"sliggoo","705","0","classified_fixed","0"
"sliggoo-hisui","705","0","classified_fixed","0"
"goodra","706","0","classified_fixed","0"
"goodra-hisui","706","0","classified_fixed","0"
"klefki","707","0","single_record","0"
"phantump","708","0","single_record","0"
"trevenant","709","0","single_record","0"
"pumpkaboo","710","0","classified_fixed","0"
"pumpkaboo-large","710","0","classified_fixed","0"
"pumpkaboo-small","710","0","classified_fixed","0"
"pumpkaboo-super","710","0","classified_fixed","0"
"gourgeist","711","0","classified_fixed","0"
"gourgeist-large","711","0","classified_fixed","0"
"gourgeist-small","711","0","classified_fixed","0"
"gourgeist-super","711","0","classified_fixed","0"
"bergmite","712","0","single_record","0"
"avalugg","713","0","classified_fixed","0"
"avalugg-hisui","713","0","classified_fixed","0"
"noibat","714","0","single_record","0"
"noivern","715","0","single_record","0"
"xerneas","716","1","modeled","1"
"xerneas-active","716","1","modeled","1"
"yveltal","717","0","single_record","0"
"zygarde","718","5","modeled","0"
"zygarde-10","718","4","modeled","0"
"zygarde-complete","718","3","modeled","0"
"zygarde-complete-mega","718","1","modeled","0"
"diancie","719","2","modeled","0"
"diancie-mega","719","2","modeled","0"
"hoopa","720","6","modeled","0"
"hoopa-unbound","720","2","modeled","0"
"volcanion","721","0","single_record","0"
"rowlet","722","0","single_record","0"
"dartrix","723","0","single_record","0"
"decidueye","724","0","classified_fixed","0"
"decidueye-hisui","724","0","classified_fixed","0"
"litten","725","0","single_record","0"
"torracat","726","0","single_record","0"
"incineroar","727","0","single_record","0"
"popplio","728","0","single_record","0"
"brionne","729","0","single_record","0"
"primarina","730","0","single_record","0"
"pikipek","731","0","single_record","0"
"trumbeak","732","0","single_record","0"
"toucannon","733","0","single_record","0"
"yungoos","734","0","single_record","0"
"gumshoos","735","0","single_record","0"
"grubbin","736","0","single_record","0"
"charjabug","737","0","single_record","0"
"vikavolt","738","0","single_record","0"
"crabrawler","739","0","single_record","0"
"crabominable","740","1","modeled","0"
"crabominable-mega","740","1","modeled","0"
"oricorio","741","1","modeled","0"
"oricorio-pau","741","1","modeled","0"
"oricorio-pom-pom","741","1","modeled","0"
"oricorio-sensu","741","1","modeled","0"
"cutiefly","742","0","single_record","0"
"ribombee","743","0","single_record","0"
"rockruff","744","0","single_record","0"
"lycanroc","745","0","classified_fixed","0"
"lycanroc-dusk","745","0","classified_fixed","0"
"lycanroc-midnight","745","0","classified_fixed","0"
"wishiwashi","746","2","modeled","2"
"wishiwashi-school","746","1","modeled","1"
"mareanie","747","0","single_record","0"
"toxapex","748","0","single_record","0"
"mudbray","749","0","single_record","0"
"mudsdale","750","0","single_record","0"
"dewpider","751","0","single_record","0"
"araquanid","752","0","single_record","0"
"fomantis","753","0","single_record","0"
"lurantis","754","0","single_record","0"
"morelull","755","0","single_record","0"
"shiinotic","756","0","single_record","0"
"salandit","757","0","single_record","0"
"salazzle","758","0","single_record","0"
"stufful","759","0","single_record","0"
"bewear","760","0","single_record","0"
"bounsweet","761","0","single_record","0"
"steenee","762","0","single_record","0"
"tsareena","763","0","single_record","0"
"comfey","764","0","single_record","0"
"oranguru","765","0","single_record","0"
"passimian","766","0","single_record","0"
"wimpod","767","0","single_record","0"
"golisopod","768","1","modeled","0"
"golisopod-mega","768","1","modeled","0"
"sandygast","769","0","single_record","0"
"palossand","770","0","single_record","0"
"pyukumuku","771","0","single_record","0"
"typenull","772","0","single_record","0"
"silvally","773","1","modeled","0"
"silvally-bug","773","1","modeled","0"
"silvally-dark","773","1","modeled","0"
"silvally-dragon","773","1","modeled","0"
"silvally-electric","773","1","modeled","0"
"silvally-fairy","773","1","modeled","0"
"silvally-fighting","773","1","modeled","0"
"silvally-fire","773","1","modeled","0"
"silvally-flying","773","1","modeled","0"
"silvally-ghost","773","1","modeled","0"
"silvally-grass","773","1","modeled","0"
"silvally-ground","773","1","modeled","0"
"silvally-ice","773","1","modeled","0"
"silvally-poison","773","1","modeled","0"
"silvally-psychic","773","1","modeled","0"
"silvally-rock","773","1","modeled","0"
"silvally-steel","773","1","modeled","0"
"silvally-water","773","1","modeled","0"
"minior","774","1","modeled","1"
"minior-blue","774","2","modeled","2"
"minior-green","774","2","modeled","2"
"minior-indigo","774","2","modeled","2"
"minior-orange","774","2","modeled","2"
"minior-red","774","2","modeled","2"
"minior-violet","774","2","modeled","2"
"minior-yellow","774","2","modeled","2"
"komala","775","0","single_record","0"
"turtonator","776","0","single_record","0"
"togedemaru","777","0","single_record","0"
"mimikyu","778","1","modeled","1"
"mimikyu-busted","778","3","modeled","2"
"bruxish","779","0","single_record","0"
"drampa","780","1","modeled","0"
"drampa-mega","780","1","modeled","0"
"dhelmise","781","0","single_record","0"
"jangmoo","782","0","single_record","0"
"hakamoo","783","0","single_record","0"
"kommoo","784","0","single_record","0"
"tapukoko","785","0","single_record","0"
"tapulele","786","0","single_record","0"
"tapubulu","787","0","single_record","0"
"tapufini","788","0","single_record","0"
"cosmog","789","0","single_record","0"
"cosmoem","790","0","single_record","0"
"solgaleo","791","0","single_record","0"
"lunala","792","0","single_record","0"
"nihilego","793","0","single_record","0"
"buzzwole","794","0","single_record","0"
"pheromosa","795","0","single_record","0"
"xurkitree","796","0","single_record","0"
"celesteela","797","0","single_record","0"
"kartana","798","0","single_record","0"
"guzzlord","799","0","single_record","0"
"necrozma","800","2","modeled","0"
"necrozma-dawn-wings","800","2","modeled","0"
"necrozma-dusk-mane","800","2","modeled","0"
"necrozma-ultra","800","1","modeled","0"
"magearna","801","1","modeled","0"
"magearna-mega","801","1","modeled","0"
"magearna-original","801","1","modeled","0"
"magearna-original-mega","801","1","modeled","0"
"marshadow","802","0","single_record","0"
"poipole","803","0","single_record","0"
"naganadel","804","0","single_record","0"
"stakataka","805","0","single_record","0"
"blacephalon","806","0","single_record","0"
"zeraora","807","1","modeled","0"
"zeraora-mega","807","1","modeled","0"
"meltan","808","0","single_record","0"
"melmetal","809","2","modeled","0"
"melmetal-gmax","809","1","modeled","0"
"grookey","810","0","single_record","0"
"thwackey","811","0","single_record","0"
"rillaboom","812","2","modeled","0"
"rillaboom-gmax","812","1","modeled","0"
"scorbunny","813","0","single_record","0"
"raboot","814","0","single_record","0"
"cinderace","815","2","modeled","0"
"cinderace-gmax","815","1","modeled","0"
"sobble","816","0","single_record","0"
"drizzile","817","0","single_record","0"
"inteleon","818","2","modeled","0"
"inteleon-gmax","818","1","modeled","0"
"skwovet","819","0","single_record","0"
"greedent","820","0","single_record","0"
"rookidee","821","0","single_record","0"
"corvisquire","822","0","single_record","0"
"corviknight","823","2","modeled","0"
"corviknight-gmax","823","1","modeled","0"
"blipbug","824","0","single_record","0"
"dottler","825","0","single_record","0"
"orbeetle","826","2","modeled","0"
"orbeetle-gmax","826","1","modeled","0"
"nickit","827","0","single_record","0"
"thievul","828","0","single_record","0"
"gossifleur","829","0","single_record","0"
"eldegoss","830","0","single_record","0"
"wooloo","831","0","single_record","0"
"dubwool","832","0","single_record","0"
"chewtle","833","0","single_record","0"
"drednaw","834","2","modeled","0"
"drednaw-gmax","834","1","modeled","0"
"yamper","835","0","single_record","0"
"boltund","836","0","single_record","0"
"rolycoly","837","0","single_record","0"
"carkol","838","0","single_record","0"
"coalossal","839","2","modeled","0"
"coalossal-gmax","839","1","modeled","0"
"applin","840","0","single_record","0"
"flapple","841","2","modeled","0"
"flapple-gmax","841","1","modeled","0"
"appletun","842","2","modeled","0"
"appletun-gmax","842","1","modeled","0"
"silicobra","843","0","single_record","0"
"sandaconda","844","2","modeled","0"
"sandaconda-gmax","844","1","modeled","0"
"cramorant","845","3","modeled","2"
"cramorant-gorging","845","2","modeled","2"
"cramorant-gulping","845","2","modeled","2"
"arrokuda","846","0","single_record","0"
"barraskewda","847","0","single_record","0"
"toxel","848","0","single_record","0"
"toxtricity","849","2","modeled","0"
"toxtricity-gmax","849","1","modeled","0"
"toxtricity-low-key","849","4","modeled","0"
"toxtricity-low-key-gmax","849","1","modeled","0"
"sizzlipede","850","0","single_record","0"
"centiskorch","851","2","modeled","0"
"centiskorch-gmax","851","1","modeled","0"
"clobbopus","852","0","single_record","0"
"grapploct","853","0","single_record","0"
"sinistea","854","0","classified_fixed","0"
"sinistea-antique","854","0","classified_fixed","0"
"polteageist","855","0","classified_fixed","0"
"polteageist-antique","855","0","classified_fixed","0"
"hatenna","856","0","single_record","0"
"hattrem","857","0","single_record","0"
"hatterene","858","2","modeled","0"
"hatterene-gmax","858","1","modeled","0"
"impidimp","859","0","single_record","0"
"morgrem","860","0","single_record","0"
"grimmsnarl","861","2","modeled","0"
"grimmsnarl-gmax","861","1","modeled","0"
"obstagoon","862","0","single_record","0"
"perrserker","863","0","single_record","0"
"cursola","864","0","single_record","0"
"sirfetchd","865","0","single_record","0"
"mrrime","866","0","single_record","0"
"runerigus","867","0","single_record","0"
"milcery","868","0","single_record","0"
"alcremie","869","2","modeled","0"
"alcremie-caramel-swirl-berry","869","2","modeled","0"
"alcremie-caramel-swirl-clover","869","2","modeled","0"
"alcremie-caramel-swirl-flower","869","2","modeled","0"
"alcremie-caramel-swirl-love","869","2","modeled","0"
"alcremie-caramel-swirl-ribbon","869","2","modeled","0"
"alcremie-caramel-swirl-star","869","2","modeled","0"
"alcremie-caramel-swirl-strawberry","869","2","modeled","0"
"alcremie-gmax","869","1","modeled","0"
"alcremie-lemon-cream-berry","869","2","modeled","0"
"alcremie-lemon-cream-clover","869","2","modeled","0"
"alcremie-lemon-cream-flower","869","2","modeled","0"
"alcremie-lemon-cream-love","869","2","modeled","0"
"alcremie-lemon-cream-ribbon","869","2","modeled","0"
"alcremie-lemon-cream-star","869","2","modeled","0"
"alcremie-lemon-cream-strawberry","869","2","modeled","0"
"alcremie-matcha-cream-berry","869","2","modeled","0"
"alcremie-matcha-cream-clover","869","2","modeled","0"
"alcremie-matcha-cream-flower","869","2","modeled","0"
"alcremie-matcha-cream-love","869","2","modeled","0"
"alcremie-matcha-cream-ribbon","869","2","modeled","0"
"alcremie-matcha-cream-star","869","2","modeled","0"
"alcremie-matcha-cream-strawberry","869","2","modeled","0"
"alcremie-mint-cream-berry","869","2","modeled","0"
"alcremie-mint-cream-clover","869","2","modeled","0"
"alcremie-mint-cream-flower","869","2","modeled","0"
"alcremie-mint-cream-love","869","2","modeled","0"
"alcremie-mint-cream-ribbon","869","2","modeled","0"
"alcremie-mint-cream-star","869","2","modeled","0"
"alcremie-mint-cream-strawberry","869","2","modeled","0"
"alcremie-rainbow-swirl-berry","869","2","modeled","0"
"alcremie-rainbow-swirl-clover","869","2","modeled","0"
"alcremie-rainbow-swirl-flower","869","2","modeled","0"
"alcremie-rainbow-swirl-love","869","2","modeled","0"
"alcremie-rainbow-swirl-ribbon","869","2","modeled","0"
"alcremie-rainbow-swirl-star","869","2","modeled","0"
"alcremie-rainbow-swirl-strawberry","869","2","modeled","0"
"alcremie-ruby-cream-berry","869","2","modeled","0"
"alcremie-ruby-cream-clover","869","2","modeled","0"
"alcremie-ruby-cream-flower","869","2","modeled","0"
"alcremie-ruby-cream-love","869","2","modeled","0"
"alcremie-ruby-cream-ribbon","869","2","modeled","0"
"alcremie-ruby-cream-star","869","2","modeled","0"
"alcremie-ruby-cream-strawberry","869","2","modeled","0"
"alcremie-ruby-swirl-berry","869","2","modeled","0"
"alcremie-ruby-swirl-clover","869","2","modeled","0"
"alcremie-ruby-swirl-flower","869","2","modeled","0"
"alcremie-ruby-swirl-love","869","2","modeled","0"
"alcremie-ruby-swirl-ribbon","869","2","modeled","0"
"alcremie-ruby-swirl-star","869","2","modeled","0"
"alcremie-ruby-swirl-strawberry","869","2","modeled","0"
"alcremie-salted-cream-berry","869","2","modeled","0"
"alcremie-salted-cream-clover","869","2","modeled","0"
"alcremie-salted-cream-flower","869","2","modeled","0"
"alcremie-salted-cream-love","869","2","modeled","0"
"alcremie-salted-cream-ribbon","869","2","modeled","0"
"alcremie-salted-cream-star","869","2","modeled","0"
"alcremie-salted-cream-strawberry","869","2","modeled","0"
"alcremie-vanilla-cream-berry","869","2","modeled","0"
"alcremie-vanilla-cream-clover","869","2","modeled","0"
"alcremie-vanilla-cream-flower","869","2","modeled","0"
"alcremie-vanilla-cream-love","869","2","modeled","0"
"alcremie-vanilla-cream-ribbon","869","2","modeled","0"
"alcremie-vanilla-cream-star","869","2","modeled","0"
"falinks","870","1","modeled","0"
"falinks-mega","870","1","modeled","0"
"pincurchin","871","0","single_record","0"
"snom","872","0","single_record","0"
"frosmoth","873","0","single_record","0"
"stonjourner","874","0","single_record","0"
"eiscue","875","3","modeled","3"
"eiscue-noice","875","1","modeled","1"
"indeedee","876","0","classified_fixed","0"
"indeedee-f","876","0","classified_fixed","0"
"morpeko","877","4","modeled","1"
"morpeko-hangry","877","2","modeled","0"
"cufant","878","0","single_record","0"
"copperajah","879","2","modeled","0"
"copperajah-gmax","879","1","modeled","0"
"dracozolt","880","0","single_record","0"
"arctozolt","881","0","single_record","0"
"dracovish","882","0","single_record","0"
"arctovish","883","0","single_record","0"
"duraludon","884","2","modeled","0"
"duraludon-gmax","884","1","modeled","0"
"dreepy","885","0","single_record","0"
"drakloak","886","0","single_record","0"
"dragapult","887","0","single_record","0"
"zacian","888","1","modeled","0"
"zacian-crowned","888","1","modeled","0"
"zamazenta","889","1","modeled","0"
"zamazenta-crowned","889","1","modeled","0"
"eternatus","890","0","classified_fixed","0"
"eternatus-eternamax","890","0","non_player_state","0"
"kubfu","891","0","single_record","0"
"urshifu","892","2","modeled","0"
"urshifu-gmax","892","1","modeled","0"
"urshifu-rapid-strike","892","2","modeled","0"
"urshifu-rapid-strike-gmax","892","1","modeled","0"
"zarude","893","0","classified_fixed","0"
"zarude-dada","893","0","classified_fixed","0"
"regieleki","894","0","single_record","0"
"regidrago","895","0","single_record","0"
"glastrier","896","0","single_record","0"
"spectrier","897","0","single_record","0"
"calyrex","898","2","modeled","0"
"calyrex-ice","898","1","modeled","0"
"calyrex-shadow","898","1","modeled","0"
"wyrdeer","899","0","single_record","0"
"kleavor","900","0","single_record","0"
"ursaluna","901","0","classified_fixed","0"
"ursaluna-bloodmoon","901","0","classified_fixed","0"
"basculegion","902","0","classified_fixed","0"
"basculegion-f","902","0","classified_fixed","0"
"sneasler","903","0","single_record","0"
"overqwil","904","0","single_record","0"
"enamorus","905","1","modeled","0"
"enamorus-therian","905","1","modeled","0"
"sprigatito","906","0","single_record","0"
"floragato","907","0","single_record","0"
"meowscarada","908","0","single_record","0"
"fuecoco","909","0","single_record","0"
"crocalor","910","0","single_record","0"
"skeledirge","911","0","single_record","0"
"quaxly","912","0","single_record","0"
"quaxwell","913","0","single_record","0"
"quaquaval","914","0","single_record","0"
"lechonk","915","0","single_record","0"
"oinkologne","916","0","classified_fixed","0"
"oinkologne-f","916","0","classified_fixed","0"
"tarountula","917","0","single_record","0"
"spidops","918","0","single_record","0"
